actor_id,has_target,country_id
CL-AT,False,CL
CL-BI,False,CL
CL-CO,False,CL
CL-LI,False,CL
CL-LL,False,CL
CL-LR,False,CL
CL-MA,False,CL
CL-ML,False,CL
CL-NB,False,CL
CL-RM,False,CL
CL-TA,False,CL
CL-VS,False,CL
CM,True,CM
CM-AD,False,CM
CM-CE,False,CM
CM-EN,False,CM
CM-ES,False,CM
CM-LT,False,CM
CM-NO,False,CM
CM-NW,False,CM
CM-OU,False,CM
CM-SU,False,CM
CM-SW,False,CM
CN-AH,False,CN
CN-BJ,False,CN
CN-CQ,False,CN
CN-FJ,False,CN
CN-GD,False,CN
CN-GS,False,CN
CN-GX,False,CN
CN-GZ,False,CN
CN-HA,False,CN
CN-HB,False,CN
CN-HE,False,CN
CN-HI,False,CN
CN-HK,False,CN
CN-HL,False,CN
CN-HN,False,CN
CN-JL,False,CN
CN-JS,False,CN
CN-JX,False,CN
CN-LN,False,CN
CN-MO,False,CN
CN-NM,False,CN
CN-NX,False,CN
CN-QH,False,CN
CN-SC,False,CN
CN-SD,False,CN
CN-SH,False,CN
CN-SN,False,CN
CN-SX,False,CN
CN-TJ,False,CN
CN-TW,False,CN
CN-XJ,False,CN
CN-XZ,False,CN
CN-YN,False,CN
CN-ZJ,False,CN
CO,True,CO
CO-AMA,False,CO
CO-ANT,False,CO
CO-ARA,False,CO
CO-ATL,False,CO
CO-BOL,False,CO
CO-BOY,False,CO
CO-CAL,False,CO
CO-CAQ,False,CO
CO-CAS,False,CO
CO-CAU,False,CO
CO-CES,False,CO
CO-CHO,False,CO
CO-COR,False,CO
CO-CUN,False,CO
CO-DC,False,CO
CO-GUA,False,CO
CO-GUV,False,CO
CO-HUI,False,CO
CO-LAG,False,CO
CO-MAG,False,CO
CO-MET,False,CO
CO-NAR,False,CO
CO-NSA,False,CO
CO-PUT,False,CO
CO-QUI,False,CO
CO-RIS,False,CO
CO-SAN,False,CO
CO-SAP,False,CO
CO-SUC,False,CO
CO-TOL,False,CO
CO-VAC,False,CO
CO-VAU,False,CO
CO-VID,False,CO
CR-A,False,CR
CR-C,False,CR
CR-G,False,CR
CR-H,False,CR
CR-L,False,CR
CR-P,False,CR
CR-SJ,False,CR
CU,False,CU
CU-01,False,CU
CU-03,False,CU
CU-04,False,CU
CU-05,False,CU
CU-06,False,CU
CU-07,False,CU
CU-08,False,CU
CU-09,False,CU
CU-10,False,CU
CU-11,False,CU
CU-12,False,CU
CU-13,False,CU
CU-14,False,CU
CU-15,False,CU
CU-16,False,CU
CU-99,False,CU
CV-B,False,CV
CV-S,False,CV
CY,True,CY
CY-01,False,CY
CY-02,False,CY
CY-03,False,CY
CY-04,False,CY
CY-05,False,CY
CY-06,False,CY
CZ,True,CZ
CZ-10,False,CZ
CZ-20,False,CZ
CZ-31,False,CZ
CZ-32,False,CZ
CZ-41,False,CZ
CZ-42,False,CZ
CZ-51,False,CZ
CZ-52,False,CZ
CZ-53,False,CZ
CZ-63,False,CZ
CZ-64,False,CZ
CZ-71,False,CZ
CZ-72,False,CZ
CZ-80,False,CZ
DE-BB,False,DE
DE-BE,True,DE
DE-BW,True,DE
DE-BY,True,DE
DE-HB,False,DE
DE-HE,False,DE
DE-HH,True,DE
DE-MV,False,DE
DE-NI,False,DE
DE-NW,True,DE
DE-RP,False,DE
DE-SH,False,DE
DE-SL,False,DE
DE-SN,False,DE
DE-ST,False,DE
DE-TH,True,DE
DJ,True,DJ
DJ-AR,False,DJ
DJ-AS,False,DJ
DJ-DI,False,DJ
DJ-DJ,False,DJ
DJ-OB,False,DJ
DJ-TA,False,DJ
DK-81,False,DK
DK-82,False,DK
DK-83,False,DK
DK-84,False,DK
DK-85,False,DK
DM,True,DM
DM-02,False,DM
DM-03,False,DM
DM-04,False,DM
DM-05,False,DM
DM-06,False,DM
DM-07,False,DM
DM-08,False,DM
DM-09,False,DM
DM-10,False,DM
DM-11,False,DM
DO,False,DO
DO-33,False,DO
DO-34,False,DO
DO-35,False,DO
DO-36,False,DO
DO-37,False,DO
DO-38,False,DO
DO-39,False,DO
DO-40,False,DO
DO-41,False,DO
DO-42,False,DO
DZ-01,False,DZ
DZ-02,False,DZ
DZ-03,False,DZ
DZ-04,False,DZ
DZ-05,False,DZ
DZ-06,False,DZ
DZ-07,False,DZ
DZ-08,False,DZ
DZ-09,False,DZ
DZ-10,False,DZ
DZ-11,False,DZ
DZ-12,False,DZ
DZ-13,False,DZ
DZ-14,False,DZ
DZ-15,False,DZ
DZ-16,False,DZ
DZ-17,False,DZ
DZ-18,False,DZ
DZ-19,False,DZ
DZ-20,False,DZ
DZ-21,False,DZ
DZ-22,False,DZ
DZ-23,False,DZ
DZ-24,False,DZ
DZ-25,False,DZ
DZ-26,False,DZ
DZ-27,False,DZ
DZ-28,False,DZ
DZ-29,False,DZ
DZ-30,False,DZ
DZ-31,False,DZ
DZ-32,False,DZ
DZ-33,False,DZ
DZ-34,False,DZ
DZ-35,False,DZ
DZ-36,False,DZ
DZ-37,False,DZ
DZ-38,False,DZ
DZ-39,False,DZ
DZ-40,False,DZ
DZ-41,False,DZ
DZ-42,False,DZ
DZ-43,False,DZ
DZ-44,False,DZ
DZ-45,False,DZ
DZ-46,False,DZ
DZ-47,False,DZ
DZ-48,False,DZ
EC-A,False,EC
EC-B,False,EC
EC-C,False,EC
EC-D,False,EC
EC-E,False,EC
EC-F,False,EC
EC-G,False,EC
EC-H,False,EC
EC-I,False,EC
EC-L,False,EC
EC-M,False,EC
EC-N,False,EC
EC-O,False,EC
EC-P,False,EC
EC-R,False,EC
EC-S,False,EC
EC-SD,False,EC
EC-SE,False,EC
EC-T,False,EC
EC-U,False,EC
EC-W,False,EC
EC-X,False,EC
EC-Y,False,EC
EC-Z,False,EC
EE-37,False,EE
EE-39,False,EE
EE-45,False,EE
EE-50,False,EE
EE-52,False,EE
EE-56,False,EE
EE-60,False,EE
EE-64,False,EE
EE-68,False,EE
EE-71,False,EE
EE-74,False,EE
EE-79,False,EE
EE-81,False,EE
EE-84,False,EE
EE-87,False,EE
EG,False,EG
EG-ALX,False,EG
EG-ASN,False,EG
EG-AST,False,EG
EG-BA,False,EG
EG-BH,False,EG
EG-BNS,False,EG
EG-C,False,EG
EG-DK,False,EG
EG-DT,False,EG
EG-FYM,False,EG
EG-GH,False,EG
EG-GZ,False,EG
EG-IS,False,EG
EG-JS,False,EG
EG-KB,False,EG
EG-KFS,False,EG
EG-KN,False,EG
EG-LX,False,EG
EG-MN,False,EG
EG-MNF,False,EG
EG-MT,False,EG
EG-PTS,False,EG
EG-SHG,False,EG
EG-SHR,False,EG
EG-SIN,False,EG
EG-SUZ,False,EG
EG-WAD,False,EG
ER,False,ER
ER-AN,False,ER
ER-DK,False,ER
ER-DU,False,ER
ER-GB,False,ER
ER-MA,False,ER
ER-SK,False,ER
ES,True,ES
ES-AN,False,ES
ES-AR,True,ES
ES-AS,False,ES
ES-CB,False,ES
ES-CE,False,ES
ES-CL,False,ES
ES-CM,True,ES
ES-CN,True,ES
ES-CT,True,ES
ES-EX,False,ES
ES-GA,False,ES
ES-IB,False,ES
ES-MC,True,ES
ES-MD,True,ES
ES-ML,False,ES
ES-NC,True,ES
ES-PV,True,ES
ES-RI,False,ES
ES-VC,False,ES
ET,False,ET
ET-AA,False,ET
ET-AF,False,ET
ET-AM,False,ET
ET-BE,False,ET
ET-DD,False,ET
ET-GA,False,ET
ET-HA,False,ET
ET-OR,False,ET
ET-SI,False,ET
ET-SN,False,ET
ET-SO,False,ET
ET-TI,False,ET
FI,True,FI
FI-01,False,FI
FI-02,False,FI
FI-03,False,FI
FI-04,False,FI
FI-05,False,FI
FI-06,False,FI
FI-07,False,FI
FI-08,False,FI
FI-09,False,FI
FI-10,False,FI
FI-11,False,FI
FI-12,False,FI
FI-13,False,FI
FI-14,False,FI
FI-15,False,FI
FI-16,False,FI
FI-17,False,FI
FI-18,False,FI
FI-19,False,FI
FJ-C,False,FJ
FJ-E,False,FJ
FJ-N,False,FJ
FJ-R,False,FJ
FJ-W,False,FJ
FM,True,FM
FM-KSA,False,FM
FM-PNI,False,FM
FM-TRK,False,FM
FM-YAP,False,FM
FR,True,FR
FR-20R,False,FR
FR-971,False,FR
FR-972,False,FR
FR-973,False,FR
FR-974,False,FR
FR-976,False,FR
FR-ARA,True,FR
FR-BFC,False,FR
FR-BL,False,FR
FR-BRE,False,FR
FR-CP,False,FR
FR-CVL,False,FR
FR-GES,False,FR
FR-HDF,False,FR
FR-IDF,False,FR
FR-MF,False,FR
FR-NAQ,False,FR
FR-NC,False,FR
FR-NOR,True,FR
FR-OCC,False,FR
FR-PAC,False,FR
FR-PDL,True,FR
FR-PF,False,FR
FR-PM,False,FR
FR-TF,False,FR
FR-WF,False,FR
GA,False,GA
GA-1,False,GA
GA-2,False,GA
GA-3,False,GA
GA-4,False,GA
GA-5,False,GA
GA-6,False,GA
GA-7,False,GA
GA-8,False,GA
GA-9,False,GA
GB,True,GB
GB-ENG,True,GB
GB-NIR,True,GB
GB-SCT,True,GB
GB-WLS,True,GB
GD,True,GD
GD-01,False,GD
GD-02,False,GD
GD-03,False,GD
GD-04,False,GD
GD-05,False,GD
GD-06,False,GD
GD-10,False,GD
GE,True,GE
GE-AB,False,GE
GE-AJ,False,GE
GE-GU,False,GE
GE-IM,False,GE
GE-KA,False,GE
GE-KK,False,GE
GE-MM,False,GE
GE-RL,False,GE
GE-SJ,False,GE
GE-SK,False,GE
GE-SZ,False,GE
GE-TB,False,GE
GH,True,GH
GH-AA,False,GH
GH-AF,False,GH
GH-AH,False,GH
GH-BE,False,GH
GH-BO,False,GH
GH-CP,False,GH
GH-EP,False,GH
GH-NE,False,GH
GH-NP,False,GH
GH-OT,False,GH
GH-SV,False,GH
GH-TV,False,GH
GH-UE,False,GH
GH-UW,False,GH
GH-WN,False,GH
GH-WP,False,GH
GL-AV,False,GL
GL-KU,False,GL
GL-QE,False,GL
GL-QT,False,GL
GL-SM,False,GL
GM,False,GM
GM-B,False,GM
GM-L,False,GM
GM-M,False,GM
GM-N,False,GM
GM-U,False,GM
GM-W,False,GM
GN-B,False,GN
GN-C,False,GN
GN-D,False,GN
GN-F,False,GN
GN-K,False,GN
GN-L,False,GN
GN-M,False,GN
GN-N,False,GN
GQ,True,GQ
GQ-C,False,GQ
GQ-I,False,GQ
GR,True,GR
GR-69,False,GR
GR-A,False,GR
GR-B,False,GR
GR-C,False,GR
GR-D,False,GR
GR-E,False,GR
GR-F,False,GR
GR-G,False,GR
GR-H,False,GR
GR-I,False,GR
GR-J,False,GR
GR-K,False,GR
GR-L,False,GR
GR-M,False,GR
GT,False,GT
GT-01,False,GT
GT-02,False,GT
GT-03,False,GT
GT-04,False,GT
GT-05,False,GT
GT-06,False,GT
GT-07,False,GT
GT-08,False,GT
GT-09,False,GT
GT-10,False,GT
GT-11,False,GT
GT-12,False,GT
GT-13,False,GT
GT-14,False,GT
GT-15,False,GT
GT-16,False,GT
GT-17,False,GT
GT-18,False,GT
GT-19,False,GT
GT-20,False,GT
GT-21,False,GT
GT-22,False,GT
GW-BS,False,GW
GW-L,False,GW
GW-N,False,GW
GW-S,False,GW
GY-BA,False,GY
GY-CU,False,GY
GY-DE,False,GY
GY-EB,False,GY
GY-ES,False,GY
GY-MA,False,GY
GY-PM,False,GY
GY-PT,False,GY
GY-UD,False,GY
GY-UT,False,GY
HN,False,HN
HN-AT,False,HN
HN-CH,False,HN
HN-CL,False,HN
HN-CM,False,HN
HN-CP,False,HN
HN-CR,False,HN
HN-EP,False,HN
HN-FM,False,HN
HN-GD,False,HN
HN-IB,False,HN
HN-IN,False,HN
HN-LE,False,HN
HN-LP,False,HN
HN-OC,False,HN
HN-OL,False,HN
HN-SB,False,HN
HN-VA,False,HN
HN-YO,False,HN
HR-01,False,HR
HR-02,False,HR
HR-03,False,HR
HR-04,False,HR
HR-05,False,HR
HR-06,False,HR
HR-07,False,HR
HR-08,False,HR
HR-09,False,HR
HR-10,False,HR
HR-11,False,HR
HR-12,False,HR
HR-13,False,HR
HR-14,False,HR
HR-15,False,HR
HR-16,False,HR
HR-17,False,HR
HR-18,False,HR
HR-19,False,HR
HR-20,False,HR
HR-21,False,HR
HT,False,HT
HT-AR,False,HT
HT-CE,False,HT
HT-GA,False,HT
HT-ND,False,HT
HT-NE,False,HT
HT-NI,False,HT
HT-NO,False,HT
HT-OU,False,HT
HT-SD,False,HT
HT-SE,False,HT
HU-BA,False,HU
HU-BC,False,HU
HU-BE,False,HU
HU-BK,False,HU
HU-BU,False,HU
HU-BZ,False,HU
HU-CS,False,HU
HU-DE,False,HU
HU-DU,False,HU
HU-EG,False,HU
HU-ER,False,HU
HU-FE,False,HU
HU-GS,False,HU
HU-GY,False,HU
HU-HB,False,HU
HU-HE,False,HU
HU-HV,False,HU
HU-JN,False,HU
HU-KE,False,HU
HU-KM,False,HU
HU-KV,False,HU
HU-MI,False,HU
HU-NK,False,HU
HU-NO,False,HU
HU-NY,False,HU
HU-PE,False,HU
HU-PS,False,HU
HU-SD,False,HU
HU-SF,False,HU
HU-SH,False,HU
HU-SK,False,HU
HU-SN,False,HU
HU-SO,False,HU
HU-SS,False,HU
HU-ST,False,HU
HU-SZ,False,HU
HU-TB,False,HU
HU-TO,False,HU
HU-VA,False,HU
HU-VE,False,HU
HU-VM,False,HU
HU-ZA,False,HU
HU-ZE,False,HU
ID-JW,False,ID
ID-KA,False,ID
ID-ML,False,ID
ID-NU,False,ID
ID-PP,False,ID
ID-SL,False,ID
ID-SM,False,ID
IE-C,False,IE
IE-L,False,IE
IE-M,False,IE
IE-U,False,IE
IL-D,False,IL
IL-HA,False,IL
IL-JM,False,IL
IL-M,False,IL
IL-TA,False,IL
IL-Z,False,IL
IN,False,IN
IN-AN,False,IN
IN-AP,False,IN
IN-AR,False,IN
IN-AS,False,IN
IN-BR,False,IN
IN-CH,False,IN
IN-CT,False,IN
IN-DH,False,IN
IN-DL,False,IN
IN-GA,False,IN
IN-GJ,False,IN
IN-HP,False,IN
IN-HR,False,IN
IN-JH,False,IN
IN-JK,False,IN
IN-KA,False,IN
IN-KL,False,IN
IN-LA,False,IN
IN-LD,False,IN
IN-MH,False,IN
IN-ML,False,IN
IN-MN,False,IN
IN-MP,False,IN
IN-MZ,False,IN
IN-NL,False,IN
IN-OR,False,IN
IN-PB,False,IN
IN-PY,False,IN
IN-RJ,False,IN
IN-SK,False,IN
IN-TG,False,IN
IN-TN,False,IN
IN-TR,False,IN
IN-UP,False,IN
IN-UT,False,IN
IN-WB,False,IN
IQ,False,IQ
IQ-AN,False,IQ
IQ-BA,False,IQ
IQ-BB,False,IQ
IQ-BG,False,IQ
IQ-DI,False,IQ
IQ-DQ,False,IQ
IQ-KA,False,IQ
IQ-KI,False,IQ
IQ-KR,False,IQ
IQ-MA,False,IQ
IQ-MU,False,IQ
IQ-NA,False,IQ
IQ-NI,False,IQ
IQ-QA,False,IQ
IQ-SD,False,IQ
IQ-WA,False,IQ
IR,False,IR
IR-00,False,IR
IR-01,False,IR
IR-02,False,IR
IR-03,False,IR
IR-04,False,IR
